candidate_id,age,education_level,university_tier,cgpa,internships,projects,programming_languages,certifications,experience_years,hackathons,research_papers,skills_score,hired,soft_skills_score,resume_length_words,company_type
1,27,Bachelors,Tier 2,8.16,2,7,2,2,0.33,0,0,21.0,1,5.62,409,MNC
2,24,Bachelors,Tier 3,6.35,3,2,2,2,4.99,0,0,11.0,1,9.66,237,Startup
3,33,Bachelors,Tier 3,7.78,0,2,4,2,0.93,0,0,15.0,1,8.12,435,Startup
4,31,Masters,Tier 3,6.92,2,1,4,1,0.37,0,0,11.5,1,7.19,340,MNC
5,28,Masters,Tier 2,8.24,3,0,1,2,0.33,0,0,5.0,0,4.09,371,Mid-size
6,33,Bachelors,Tier 2,7.24,1,5,1,1,2.87,2,0,15.5,1,4.09,345,Startup
7,25,Bachelors,Tier 2,6.96,1,4,5,0,2.83,0,0,18.0,0,3.41,571,Startup
8,27,Masters,Tier 3,7.09,2,3,1,1,0.11,1,0,10.5,0,9.06,443,MNC
9,30,Bachelors,Tier 3,7.02,1,4,1,1,0.44,0,1,11.5,1,7.21,414,MNC
10,23,Bachelors,Tier 2,7.4,0,3,2,5,1.13,0,0,17.5,1,7.96,455,Startup
11,27,Bachelors,Tier 2,5.8,3,3,3,3,0.37,1,0,17.5,1,3.14,386,Startup
12,31,Bachelors,Tier 2,8.16,1,4,2,1,0.49,0,2,13.5,0,9.79,321,MNC
13,31,Bachelors,Tier 1,6.51,2,2,3,0,2.39,0,0,10.0,1,8.83,431,MNC
14,28,Bachelors,Tier 3,8.07,2,3,5,1,0.56,0,0,17.5,0,4.49,294,MNC
15,25,Masters,Tier 1,7.28,0,2,5,3,0.58,2,0,20.5,0,4.27,499,Mid-size
16,24,Bachelors,Tier 3,6.11,1,5,3,0,6.23,1,1,17.0,1,4.28,499,MNC
17,28,Masters,Tier 3,6.19,0,1,4,0,1.7,0,0,10.0,1,5.13,297,Startup
18,28,Bachelors,Tier 2,8.0,1,4,3,2,0.07,0,0,17.0,1,6.67,308,Mid-size
19,23,Bachelors,Tier 2,6.82,2,5,4,0,1.71,1,0,19.0,1,6.02,386,Mid-size
20,26,Bachelors,Tier 2,7.93,2,1,3,2,0.67,1,0,12.0,1,5.04,633,Startup
21,25,Bachelors,Tier 1,7.68,2,3,4,0,0.17,1,1,15.0,1,7.28,443,MNC
22,22,PhD,Tier 2,5.94,0,2,1,0,4.48,1,1,7.0,1,3.98,505,MNC
23,28,Masters,Tier 2,7.99,6,5,4,0,0.37,0,0,18.0,0,5.05,163,Startup
24,32,Bachelors,Tier 3,6.93,1,2,3,1,1.13,1,0,12.5,1,5.56,340,Startup
25,34,Bachelors,Tier 1,8.58,2,3,2,1,3.39,0,1,11.5,0,6.19,477,Mid-size
26,26,Masters,Tier 1,8.07,1,7,5,2,0.88,2,0,29.0,1,8.5,607,MNC
27,22,Bachelors,Tier 1,5.09,3,2,2,2,0.58,0,1,11.0,0,4.4,614,MNC
28,32,Bachelors,Tier 2,6.32,2,4,1,2,0.52,0,0,13.0,1,6.6,496,MNC
29,25,Bachelors,Tier 2,7.95,1,3,4,0,3.77,0,0,14.0,1,7.15,635,Startup
30,21,Masters,Tier 1,6.54,2,7,1,1,0.12,0,0,17.5,1,3.33,685,MNC
31,32,Bachelors,Tier 3,8.47,2,2,4,1,0.94,0,0,13.5,0,7.25,436,MNC
